Start,Boss,Rate(frame),最大キャラ ,一回ごとのキャラ ,"キャラID（以降もキャラID, 同じ番号が増えれば確率調整できる）  ",,,,,,,,
1,FALSE,2000,10,1,12,5,,,,,,,
1,FALSE,1900,5,1,12,5,,,,,,,
2,FALSE,1900,5,2,12,5,,,,,,,
2,FALSE,1800,5,1,5,,,,,,,,
2,FALSE,1800,6,1,5,5,5,5,8,,,,
3,FALSE,1800,5,1,12,12,5,,,,,,
4,FALSE,1800,10,1,5,5,5,5,13,,,,
5,FALSE,1800,10,2,5,5,12,13,,,,,
6,TRUE,-1,0,0,14,13,13,5,5,5,5,5,5
7,FALSE,1700,12,1,1,2,3,,,,,,
8,FALSE,1700,12,1,1,2,3,,,,,,
9,FALSE,1700,12,2,1,2,3,,,,,,
10,FALSE,1700,12,2,1,2,3,,,,,,
11,FALSE,1700,12,2,1,2,3,3,,,,,
12,TRUE,-1,0,0,4,,,,,,,,
13,FALSE,1600,14,2,1,1,1,2,,,,,
14,FALSE,1600,14,2,1,1,2,,,,,,
15,FALSE,1600,14,3,2,2,3,,,,,,
16,FALSE,1600,14,3,2,3,,,,,,,
17,FALSE,1600,14,3,3,,,,,,,,
18,TRUE,-1,0,0,4,,,,,,,,
19,FALSE,1500,15,1,1,1,1,4,,,,,
20,FALSE,1500,15,2,2,2,2,1,1,4,,,
21,FALSE,1500,15,4,1,,,,,,,,
22,FALSE,1500,15,4,1,1,2,,,,,,
23,FALSE,1500,15,5,2,,,,,,,,
24,TRUE,-1,0,0,4,4,4,,,,,,
25,FALSE,1500,15,2,2,2,4,,,,,,
26,FALSE,1500,15,5,1,,,,,,,,
27,FALSE,1500,15,5,1,1,2,,,,,,
28,FALSE,1500,15,2,2,,,,,,,,
29,FALSE,1500,15,3,1,,,,,,,,
30,TRUE,-1,0,0,4,,,,,,,,
End,,,,,,,,,,,,,
