Start,Boss,Rate(frame),最大キャラ ,一回ごとのキャラ ,"キャラID（以降もキャラID, 同じ番号が増えれば確率調整できる）  ",,,,,,,,,,,,
1,FALSE,2000,1,1,2,,,,,,,,,,,,
1,FALSE,2000,1,1,7,7,2,,,,,,,,,,
2,FALSE,1900,2,1,7,21,,,,,,,,,,,
2,FALSE,1900,2,1,21,,,,,,,,,,,,
3,FALSE,1900,2,1,21,21,8,,,,,,,,,,
4,FALSE,1900,2,1,22,21,21,8,8,,,,,,,,
5,FALSE,1900,2,1,8,22,,,,,,,,,,,
6,FALSE,1900,2,1,8,21,,,,,,,,,,,
7,FALSE,1900,2,1,22,21,8,,,,,,,,,,
8,FALSE,1900,2,1,22,21,,,,,,,,,,,
9,FALSE,1900,3,1,22,21,,,,,,,,,,,
10,TRUE,-1,0,0,23,21,21,21,21,21,21,21,,,,,
11,FALSE,2000,1,1,26,21,21,21,21,21,21,21,21,21,21,21,21
11,FALSE,2000,1,1,21,21,21,22,,,,,,,,,
12,FALSE,1900,1,1,21,21,21,29,,,,,,,,,
13,FALSE,1900,1,1,29,21,,,,,,,,,,,
14,FALSE,1900,2,1,29,,,,,,,,,,,,
15,FALSE,1900,2,1,29,29,34,30,,,,,,,,,
16,FALSE,1900,2,1,29,30,34,,,,,,,,,,
17,FALSE,1900,2,1,30,34,,,,,,,,,,,
18,FALSE,1800,2,1,29,30,34,,,,,,,,,,
19,FALSE,1800,3,1,29,30,34,,,,,,,,,,
20,TRUE,-1,0,0,38,39,,,,,,,,,,,
21,FALSE,1700,1,1,26,21,21,21,21,21,21,21,21,21,21,21,21
21,FALSE,1500,15,4,1,,,,,,,,,,,,
22,FALSE,1500,15,4,1,1,2,,,,,,,,,,
23,FALSE,1500,15,5,2,,,,,,,,,,,,
24,FALSE,1500,15,5,2,1,1,,,,,,,,,,
25,FALSE,1500,15,5,2,2,4,,,,,,,,,,
26,FALSE,1500,15,5,1,,,,,,,,,,,,
27,FALSE,1500,15,5,1,1,2,,,,,,,,,,
28,FALSE,1500,15,2,2,,,,,,,,,,,,
29,FALSE,1500,15,3,1,,,,,,,,,,,,
30,TRUE,-1,0,0,4,,,,,,,,,,,,
31,FALSE,1700,1,1,26,21,21,21,21,21,21,21,21,21,21,21,21
31,FALSE,1500,15,5,1,,,,,,,,,,,,
32,FALSE,1500,15,5,1,1,2,,,,,,,,,,
33,FALSE,1500,15,2,2,,,,,,,,,,,,
34,FALSE,1500,15,3,1,,,,,,,,,,,,
35,FALSE,1500,15,3,1,,,,,,,,,,,,
36,FALSE,1500,15,5,1,,,,,,,,,,,,
37,FALSE,1500,15,5,1,1,2,,,,,,,,,,
38,FALSE,1500,15,2,2,,,,,,,,,,,,
39,FALSE,1500,15,3,1,,,,,,,,,,,,
40,TRUE,-1,0,0,4,,,,,,,,,,,,
41,FALSE,1700,1,1,26,21,21,21,21,21,21,21,21,21,21,21,21
41,FALSE,1500,15,5,1,,,,,,,,,,,,
42,FALSE,1500,15,5,1,1,2,,,,,,,,,,
43,FALSE,1500,15,2,2,,,,,,,,,,,,
44,FALSE,1500,15,3,1,,,,,,,,,,,,
45,FALSE,1500,15,3,1,,,,,,,,,,,,
46,FALSE,1500,15,5,1,,,,,,,,,,,,
47,FALSE,1500,15,5,1,1,2,,,,,,,,,,
48,FALSE,1500,15,2,2,,,,,,,,,,,,
49,FALSE,1500,15,3,1,,,,,,,,,,,,
50,TRUE,-1,0,0,4,,,,,,,,,,,,
51,FALSE,1700,1,1,26,21,21,21,21,21,21,21,21,21,21,21,21
51,FALSE,1500,15,5,1,,,,,,,,,,,,
52,FALSE,1500,15,5,1,1,2,,,,,,,,,,
53,FALSE,1500,15,2,2,,,,,,,,,,,,
54,FALSE,1500,15,3,1,,,,,,,,,,,,
55,FALSE,1500,15,3,1,,,,,,,,,,,,
56,FALSE,1500,15,5,1,,,,,,,,,,,,
57,FALSE,1500,15,5,1,1,2,,,,,,,,,,
58,FALSE,1500,15,2,2,,,,,,,,,,,,
