Start,ŠK‘w,Ží—Þ,ID
None,1,consuption,53
None,1,consuption,54
None,1,consuption,55
None,1,consuption,56
None,1,consuption,57
None,1,consuption,58
None,1,consuption,64
None,1,equipment,21
None,1,equipment,23
None,2,consuption,53
None,2,consuption,54
None,2,consuption,55
None,2,consuption,56
None,2,consuption,57
None,2,consuption,58
None,2,consuption,64
None,2,consuption,29
None,2,consuption,30
None,2,consuption,31
None,2,consuption,32
None,2,consuption,47
None,2,equipment,22
None,2,equipment,24
None,3,consuption,53
None,3,consuption,54
None,3,consuption,55
None,3,consuption,56
None,3,consuption,57
None,3,consuption,58
None,3,consuption,64
None,3,equipment,21
None,3,equipment,23
None,4,consuption,58
None,4,consuption,59
None,4,consuption,67
None,4,consuption,69
None,4,consuption,74
None,4,equipment,17
None,4,equipment,20
None,5,consuption,53
None,5,consuption,54
None,5,consuption,55
None,5,consuption,56
None,5,consuption,57
None,5,consuption,58
None,5,consuption,64
None,5,consuption,67
None,5,consuption,69
None,5,consuption,74
None,5,equipment,18
None,5,equipment,19
None,6,consuption,58
None,6,consuption,59
None,6,consuption,60
None,6,consuption,61
None,6,consuption,62
None,6,consuption,63
None,6,consuption,64
None,6,consuption,67
None,6,consuption,68
None,6,consuption,69
None,6,consuption,70
None,6,consuption,71
None,6,consuption,74
None,6,equipment,25
None,6,equipment,27
None,6,equipment,31
None,7,consuption,53
None,7,consuption,54
None,7,consuption,55
None,7,consuption,56
None,7,consuption,57
None,7,consuption,58
None,7,consuption,59
None,7,consuption,65
None,7,consuption,66
None,7,consuption,68
None,7,consuption,69
None,7,consuption,74
None,7,consuption,79
None,7,equipment,28
None,7,equipment,32
None,8,consuption,53
None,8,consuption,54
None,8,consuption,55
None,8,consuption,56
None,8,consuption,57
None,8,consuption,58
None,8,consuption,59
None,8,consuption,65
None,8,consuption,66
None,8,consuption,68
None,8,consuption,69
None,8,consuption,74
None,8,equipment,26
None,8,equipment,27
None,8,equipment,31
None,9,consuption,58
None,9,consuption,59
None,9,consuption,65
None,9,consuption,66
None,9,consuption,71
None,9,consuption,72
None,9,consuption,73
None,9,consuption,74
None,9,equipment,28
None,9,equipment,30
None,9,equipment,32
None,10,consuption,65
None,10,consuption,66
None,10,consuption,71
None,10,consuption,72
None,10,consuption,73
None,10,equipment,25
None,10,equipment,28
None,10,equipment,32
None,10,equipment,30
None,11,consuption,53
None,11,consuption,54
None,11,consuption,55
None,11,consuption,56
None,11,consuption,57
None,11,consuption,58
None,11,consuption,59
None,11,consuption,65
None,11,consuption,66
None,11,consuption,71
None,11,consuption,72
None,11,consuption,73
None,11,consuption,74
None,11,equipment,25
None,12,consuption,59
None,12,consuption,71
None,12,consuption,75
None,12,equipment,26
None,13,consuption,79
None,13,consuption,11
None,14,consuption,12
None,15,consuption,13
None,16,consuption,14
None,17,consuption,8
None,18,consuption,7
None,19,consuption,79
None,19,consuption,10
None,20,consuption,12
None,21,consuption,12
None,22,consuption,12
None,23,consuption,12
None,24,consuption,12
None,25,consuption,79
None,25,consuption,12
None,26,consuption,12
None,27,consuption,12
None,28,consuption,12
None,29,consuption,12
None,30,consuption,14
None,30,consuption,13
None,30,consuption,10
None,30,consuption,9
None,30,equipment,1
End,,,
